2024-10-12 03:44:43 DEBUG TestNG:82 - suiteXmlPath: "C:\Users\DELL\eclipse-workspace_automation\PetStoreAutomation\testng.xml"
2024-10-12 03:44:44 INFO  Utils:112 - [TestNG] Running:
  C:\Users\DELL\eclipse-workspace_automation\PetStoreAutomation\testng.xml

2024-10-12 03:45:49 DEBUG TestNG:82 - suiteXmlPath: "C:\Users\DELL\eclipse-workspace_automation\PetStoreAutomation\testng.xml"
2024-10-12 03:45:49 INFO  Utils:112 - [TestNG] Running:
  C:\Users\DELL\eclipse-workspace_automation\PetStoreAutomation\testng.xml

2024-10-12 03:45:50 INFO  UserTests:45 - ****************Creating usuer******************
2024-10-12 03:45:53 INFO  UserTests:49 - ***************user created*********************
2024-10-12 03:45:53 INFO  UserTests:54 - ***************testGetUserByName()  starts*********************
2024-10-12 03:45:54 INFO  UserTests:59 - ***************testGetUserByName()   ends*********************
2024-10-12 03:45:54 INFO  UserTests:64 - ***************testUpdateUserByName()   starts*********************
2024-10-12 03:45:57 INFO  UserTests:81 - ***************testUpdateUserByName()   ends*********************
2024-10-12 03:45:58 INFO  UserTests:87 - ***************testDeleteUserByName()   stars*********************
2024-10-12 03:45:59 INFO  UserTests:91 - ***************testDeleteUserByName()   ends*********************
2024-10-12 04:38:24 DEBUG TestNG:82 - suiteXmlPath: "C:\Users\DELL\eclipse-workspace_automation\PetStoreAutomation\testng.xml"
2024-10-12 04:38:25 INFO  Utils:112 - [TestNG] Running:
  C:\Users\DELL\eclipse-workspace_automation\PetStoreAutomation\testng.xml

2024-10-12 04:38:25 INFO  UserTests2:43 - ****************Creating usuer******************
2024-10-12 04:38:29 INFO  UserTests2:47 - ***************user created*********************
2024-10-12 04:38:29 INFO  UserTests2:52 - ***************testGetUserByName()  starts*********************
2024-10-12 04:38:30 INFO  UserTests2:57 - ***************testGetUserByName()   ends*********************
2024-10-12 04:38:30 INFO  UserTests2:62 - ***************testUpdateUserByName()   starts*********************
2024-10-12 04:38:33 INFO  UserTests2:79 - ***************testUpdateUserByName()   ends*********************
2024-10-12 04:38:33 INFO  UserTests2:85 - ***************testDeleteUserByName()   stars*********************
2024-10-12 04:38:34 INFO  UserTests2:89 - ***************testDeleteUserByName()   ends*********************
2024-10-12 04:48:12 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:12 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:12 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /_rels/.rels
2024-10-12 04:48:13 DEBUG PackageRelationshipCollection:309 - Parsing relationship: /xl/_rels/workbook.xml.rels
